N,P,K,pH,Temp(°C),Humidity(%),Moisture(%),Rainfall(cm),Crop,,,,,,,,,,,,,,,
146,44,26,6.2,31,76,81,124,Aman Rice,,,,,,,,,,,,,,,
229,35,31,6.1,22,73.3,72,137,Aman Rice,,,,,,,,,,,,,,,
281,26,35,6,32,79.5,86,124,Aman Rice,,,,,,,,,,,,,,,
161,23,42,6.2,36,71.8,86,145,Aman Rice,,,,,,,,,,,,,,,
155,45,34,6.3,22,73,71,144,Aman Rice,,,,,,,,,,,,,,,
256,38,53,6.2,27,77.7,85,124,Aman Rice,,,,,,,,,,,,,,,
326,31,72,6.4,36,73.2,85,141,Aman Rice,,,,,,,,,,,,,,,
163,30,94,6.1,22,77.4,88,145,Aman Rice,,,,,,,,,,,,,,,
152,44,31,6.1,31,76.2,75,126,Aman Rice,,,,,,,,,,,,,,,
247,37,46,6.3,37,76.4,72,131,Aman Rice,,,,,,,,,,,,,,,
311,29,60,6.4,29,76,78,139,Aman Rice,,,,,,,,,,,,,,,
158,27,77,6.1,24,71.8,74,119,Aman Rice,,,,,,,,,,,,,,,
149,44,29,6.3,33,71.2,88,120,Aman Rice,,,,,,,,,,,,,,,
238,35,38,6.2,22,74.4,79,128,Aman Rice,,,,,,,,,,,,,,,
296,26,47,6.3,39,77.3,75,150,Aman Rice,,,,,,,,,,,,,,,
154,23,74,6,40,78.1,74,135,Aman Rice,,,,,,,,,,,,,,,
155,45,30,6,26,75.5,76,148,Aman Rice,,,,,,,,,,,,,,,
256,40,43,6.2,36,77.5,82,138,Aman Rice,,,,,,,,,,,,,,,
326,34,55,6,20,75.3,80,132,Aman Rice,,,,,,,,,,,,,,,
162,34,70,6.3,21,80,73,139,Aman Rice,,,,,,,,,,,,,,,
151,45,28,6.2,22,79.6,84,148,Aman Rice,,,,,,,,,,,,,,,
244,38,37,6,20,75.1,77,119,Aman Rice,,,,,,,,,,,,,,,
306,31,45,6,35,80.3,74,141,Aman Rice,,,,,,,,,,,,,,,
160,30,57,6.3,26,73.9,72,122,Aman Rice,,,,,,,,,,,,,,,
152,45,30,6.1,32,77.3,87,112,Aman Rice,,,,,,,,,,,,,,,
245,38,43,6.1,36,79.8,79,116,Aman Rice,,,,,,,,,,,,,,,
